"COMPANY_ID","DETAIL_ID","VEHICLE_ID","CLAIM_ID","CHANGE_OR_REPAIR","FITTING_NAME","FITTING_NUM","MATERIAL_FEE","MAN_HOUR","MAN_POWER_FEE","IS_SUBJOIN","REPAIR_METHORD","JY_PART_CODE","OEM_PART_CODE","DEFINE_FLAG","PRICE_TYPE","QUALITY_TYPE","CREATE_TIME","UPDATE_TIME","COMPANY_NAME"
"2000","415976","57359","12185101","2","喷漆:发动机罩","1","0.00","25.00","300.00","","","","未知","0","","","2015/10/14 4:55:51","2015/10/14 4:55:51","中国太平洋财产保险股份有限公司北京分公司"
"5000","256758","36805","12364989","2","喷漆:发动机罩","1","0.00","38.00","380.00","","","","未知","0","","","2015/10/9 15:45:12","2015/10/9 15:45:12","华泰财产保险股份有限公司北京分公司"
"1000","465607","63637","12279608","2","喷漆:发动机罩","1","0.00","60.50","605.00","","","","未知","0","","","2015/10/14 18:21:20","2015/10/14 18:21:20","中国人民财产保险股份有限公司北京市分公司"
"2000","12532903","1749811","13836553","2","喷漆:发动机罩","1","0.00","45.00","450.00","","","","未知","0","","","2016/8/19 15:08:56","2016/8/19 15:08:56","中国太平洋财产保险股份有限公司北京分公司"
"L000","283046","39693","12116691","2","喷漆:发动机罩","1","0.00","60.00","600.00","","","","未知","0","","","2015/10/9 16:22:31","2015/10/9 16:22:31","中银保险有限公司北京分公司"
"2000","462189","63419","11754713","2","喷漆:发动机罩","1","0.00","45.00","450.00","","","","未知","0","","","2015/10/14 18:15:24","2015/10/14 18:15:24","中国太平洋财产保险股份有限公司北京分公司"
"1000","462458","63457","12186167","2","喷漆:发动机罩","1","0.00","22.00","220.00","","","","未知","0","","","2015/10/14 18:16:02","2015/10/14 18:16:02","中国人民财产保险股份有限公司北京市分公司"
"2000","463779","63540","12277467","2","喷漆:发动机罩","1","0.00","30.10","301.00","","","","未知","0","","","2015/10/14 18:18:12","2015/10/14 18:18:12","中国太平洋财产保险股份有限公司北京分公司"
"1000","618085","83071","12424158","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/10/19 11:11:43","2015/10/19 11:11:43","中国人民财产保险股份有限公司北京市分公司"
"2000","342450","46824","12342770","2","喷漆:发动机罩","1","0.00","20.00","200.00","","","","未知","0","","","2015/10/11 4:23:59","2015/10/11 4:23:59","中国太平洋财产保险股份有限公司北京分公司"
"2000","478159","65136","11898190","2","喷漆:发动机罩","1","0.00","24.00","240.00","","","","未知","0","","","2015/10/15 4:23:28","2015/10/15 4:23:28","中国太平洋财产保险股份有限公司北京分公司"
"9000","12531285","1749650","13769774","2","喷漆:发动机罩","1","0.00","120.00","1200.00","","","","未知","0","","","2016/8/19 14:55:14","2016/8/19 14:55:14","中国大地财产保险股份有限公司北京分公司"
"7000","204390","28990","12331215","2","喷漆:发动机罩","1","0.00","90.00","900.00","","","","未知","0","","","2015/10/5 17:27:22","2015/10/5 17:27:22","中华联合财产保险股份有限公司北京分公司"
"2000","220892","31994","12399190","2","喷漆:发动机罩","1","0.00","35.00","350.00","","","","未知","0","","","2015/10/8 14:58:25","2015/10/8 14:58:25","中国太平洋财产保险股份有限公司北京分公司"
"2000","478282","65172","12336914","2","喷漆:发动机罩","1","0.00","52.00","520.00","","","","未知","0","","","2015/10/15 4:23:43","2015/10/15 4:23:43","中国太平洋财产保险股份有限公司北京分公司"
"1000","598046","80303","12423388","2","喷漆:发动机罩","1","0.00","75.00","750.00","","","","未知","0","","","2015/10/18 11:45:32","2015/10/18 11:45:32","中国人民财产保险股份有限公司北京市分公司"
"G000","1338473","179318","12497062","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/11/4 18:26:54","2015/11/4 18:26:54","安邦财产保险股份有限公司北京分公司"
"1000","712919","95370","12402799","2","喷漆:发动机罩","1","0.00","120.00","1200.00","","","","未知","0","","","2015/10/21 12:22:02","2015/10/21 12:22:02","中国人民财产保险股份有限公司北京市分公司"
"1000","706808","94579","12493992","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/10/21 10:34:35","2015/10/21 10:34:35","中国人民财产保险股份有限公司北京市分公司"
"7000","629296","84642","12455641","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/10/19 14:11:54","2015/10/19 14:11:54","中华联合财产保险股份有限公司北京分公司"
"F000","654249","87679","12345330","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/10/20 4:15:17","2015/10/20 4:15:17","渤海财产保险股份有限公司北京分公司"
"1000","655588","87821","12180072","2","喷漆:发动机罩","1","0.00","70.00","700.00","","","","未知","0","","","2015/10/20 4:17:33","2015/10/20 4:17:33","中国人民财产保险股份有限公司北京市分公司"
"1000","674086","90223","12422246","2","喷漆:发动机罩","1","0.00","18.33","220.00","","","","未知","0","","","2015/10/20 13:36:10","2015/10/20 13:36:10","中国人民财产保险股份有限公司北京市分公司"
"1000","1607938","214179","12497680","2","喷漆:发动机罩","1","0.00","40.00","400.00","","","","未知","0","","","2015/11/12 9:37:45","2015/11/12 9:37:45","中国人民财产保险股份有限公司北京市分公司"
"1000","681993","91453","12484840","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/10/20 15:47:14","2015/10/20 15:47:14","中国人民财产保险股份有限公司北京市分公司"
"1000","531119","71820","12354835","2","喷漆:发动机罩","1","0.00","32.20","322.00","","","","未知","0","","","2015/10/16 3:26:58","2015/10/16 3:26:58","中国人民财产保险股份有限公司北京市分公司"
"1000","533677","72122","12236055","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/10/16 4:19:52","2015/10/16 4:19:52","中国人民财产保险股份有限公司北京市分公司"
"2000","724562","96836","12455483","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/10/21 14:59:03","2015/10/21 14:59:03","中国太平洋财产保险股份有限公司北京分公司"
"1000","1557605","208278","12133014","2","喷漆:发动机罩","1","0.00","45.00","450.00","","","","未知","0","","","2015/11/11 4:26:00","2015/11/11 4:26:00","中国人民财产保险股份有限公司北京市分公司"
"7000","533123","72074","12157072","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/10/16 4:18:58","2015/10/16 4:18:58","中华联合财产保险股份有限公司北京分公司"
"1000","563211","75638","12283396","2","喷漆:发动机罩","1","0.00","40.00","400.00","","","","未知","0","","","2015/10/16 15:13:03","2015/10/16 15:13:03","中国人民财产保险股份有限公司北京市分公司"
"1000","744476","99271","12177273","2","喷漆:发动机罩","1","0.00","35.00","350.00","","","","未知","0","","","2015/10/22 4:29:16","2015/10/22 4:29:16","中国人民财产保险股份有限公司北京市分公司"
"1000","604609","81489","11301743","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/10/19 4:07:19","2015/10/19 4:07:19","中国人民财产保险股份有限公司北京市分公司"
"2000","708980","94777","12440319","2","喷漆:发动机罩","1","0.00","50.00","500.00","","","","未知","0","","","2015/10/21 10:56:51","2015/10/21 10:56:51","中国太平洋财产保险股份有限公司北京分公司"
"1000","714443","95594","12422062","2","喷漆:发动机罩","1","0.00","67.50","675.00","","","","未知","0","","","2015/10/21 13:08:00","2015/10/21 13:08:00","中国人民财产保险股份有限公司北京市分公司"
"1000","540379","72739","12455664","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/10/16 8:37:23","2015/10/16 8:37:23","中国人民财产保险股份有限公司北京市分公司"
"1000","536218","72376","12311067","2","喷漆:发动机罩","1","0.00","24.00","240.00","","","","未知","0","","","2015/10/16 4:25:22","2015/10/16 4:25:22","中国人民财产保险股份有限公司北京市分公司"
"1000","786833","104636","12214806","2","喷漆:发动机罩","1","0.00","25.00","300.00","","","","未知","0","","","2015/10/23 4:26:03","2015/10/23 4:26:03","中国人民财产保险股份有限公司北京市分公司"
"1000","823109","109340","11795778","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/10/24 4:16:59","2015/10/24 4:16:59","中国人民财产保险股份有限公司北京市分公司"
"1000","873254","116101","12441904","2","喷漆:发动机罩","1","0.00","40.00","400.00","","","","未知","0","","","2015/10/26 11:17:56","2015/10/26 11:17:56","中国人民财产保险股份有限公司北京市分公司"
"1000","858788","114347","12074346","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/10/26 4:08:11","2015/10/26 4:08:11","中国人民财产保险股份有限公司北京市分公司"
"1000","878509","116787","12415903","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/10/26 13:14:25","2015/10/26 13:14:25","中国人民财产保险股份有限公司北京市分公司"
"9000","905525","120179","12172319","2","喷漆:发动机罩","1","0.00","40.00","400.00","","","","未知","0","","","2015/10/27 4:19:26","2015/10/27 4:19:26","中国大地财产保险股份有限公司北京分公司"
"2000","913837","121110","11532636","2","喷漆:发动机罩","1","0.00","30.00","300.00","","","","未知","0","","","2015/10/27 9:20:06","2015/10/27 9:20:06","中国太平洋财产保险股份有限公司北京分公司"
"2000","789072","104873","12516353","2","喷漆:发动机罩","1","0.00","25.02","250.17","","","","未知","0","","","2015/10/23 4:47:01","2015/10/23 4:47:01","中国太平洋财产保险股份有限公司北京分公司"
