"CLAIM_ID","CAR_ID","COMPANY_ID","OPTION_TYPE","CLAIM_AMOUNT","LOSS_AMOUNT","ESTIMATE","ENDCASE_TIME","CLAIM_STATUS","CAR_MARK","VEHICLE_TYPE","REPORT_NO","CLAIM_CODE","MAIN_THIRD","STATUS","CONFIRM_SEQUENCE_NO","VEHICLE_CODE","USE_TYPE","BASED_PREMIUM","STANDARD_PREMIUM","R_VEHICLE_BRAND","R_VEHICLE_FAMILY","R_VEHICLE_NAME","VEHICLE_DESCRIPTION","CAR_MARK1","STD_PART_NAME","CHANGE_PART_FEE","PRICE_TYPE","OEM_PART_CODE","CHANGE_PART_NUM","REPAIR_PART_NAME","REPAIR_PART_NUM","REPAIR_PART_FEE","REPAIR_PART_MANPOWER_FEE","REPAIR_ORG"
"117487169","50175247","6000","3","5350.00","2650.00","9136.63","2016/2/25 10:59:40","5","沪GR2963","02","07600108012016006492","80TPIC01160000000000853591698B","1","0","02TPIC01150000000000732924411J","CAABHD0061","200","3462.38","2803.43","长安","长安星光","长安SC5022XXYZ2邮政车","邮政车,发动机型号:长安JL474Q7;底盘型号:长安SC6395D","沪GR2963","前大灯（左）","110.00","02","3772010-08H","1","","0","0.00","0.00","KS99999999"
"118272935","50197560","6000","3","3770.00","3040.00","9136.63","2016/2/26 13:26:11","5","皖HNE676","02","07601508012016009882","80TPIC01160000000000858295687F","1","0","02TPIC01150000000000737187420F","CAABBD0035","210","2685.39","2774.11","长安","长安星光","长安SC6395CV4S客车","客车,手动档 国Ⅳ","皖HNE676","前大灯（左）","250.00","02","3772010-04H","1","","0","0.00","0.00","JY00000216"
"118272935","50197560","6000","3","3770.00","3040.00","9136.63","2016/2/26 13:26:11","5","皖HNE676","02","07601508012016009882","80TPIC01160000000000858295687F","1","0","02TPIC01150000000000737187420F","CAABBD0035","210","2685.39","2774.11","长安","长安星光","长安SC6395CV4S客车","客车,手动档 国Ⅳ","皖HNE676","前大灯（左）","0.00","","000","0","前大灯（左）","1","0.00","0.00","JY00000216"
"120636368","59448324","6000","3","32600.00","42900.00","9136.63","2016/6/27 9:36:32","5","沪BE3932","01","07602108022016018289","80TPIC01160000000000873599770C","1","0","02TPIC01150000000000738398343E","JFAJQD0019","100","22209.77","18792.82","解放","解放J4长头系列","解放CA4187K2R5AE半挂牵引车","半挂牵引车,发动机型号:一汽大柴CA6DE3-28E3","沪BE3932","前大灯（左）","200.00","02","JYJY10049","1","","0","0.00","0.00","JY00000018"
"117439902","48674998","6000","3","3450.00","3550.00","9136.63","2016/2/1 13:58:12","5","浙B9FG96","02","07600108022016005970","80TPIC01160000000000852680164H","1","0","02TPIC01150000000000804130964B","MZAADD0022","210","2564.80","2537.35","海马","福美来","海马HMC7162A轿车","轿车,手动档 舒适型 GLX","浙B9FG96","前大灯（左）","256.00","02","HMCA-51-040","1","","0","0.00","0.00","JY00000047"
"116641363","46354638","6000","2","4600.00","3700.00","3266.00","2016/1/6 17:59:27","5","沪C0QL87","02","07601508022016001251","80TPIC01160000000000844628300C","1","0","02TPIC01150000000000784994869A","MZAADD0022","210","3100.31","3072.94","海马","福美来","海马HMC7162A轿车","轿车,手动档 舒适型 GLX","沪C0QL87","前大灯（左）","256.00","02","HMCA-51-040","1","","0","0.00","0.00","JY00007508"
"122808404","55918720","6000","3","6300.00","5000.00","9136.63","2016/4/28 9:32:10","5","浙JUB953","02","07600108022016027531","80TPIC01160000000000895936290I","1","0","02TPIC01160000000000854611749C","MZAADD0022","210","2564.80","2537.35","海马","福美来","海马HMC7162A轿车","轿车,手动档 舒适型 GLX","浙JUB953","前大灯（左）","243.20","02","HMCA-51-040","1","","0","0.00","0.00","JY00000018"
"118306414","53604713","6000","3","2300.00","2400.00","9136.63","2016/4/6 13:54:05","5","沪CC1938","02","07601508012016011134","80TPIC01160000000000858953802F","1","0","02TPIC01150000000000830164414H","MZAADD0023","210","3088.01","2876.60","海马","福美来","海马HMC7161B轿车","轿车,手动档 普通型 GX 巴西发动机","沪CC1938","前大灯（左）","256.00","02","HMCA-51-040","1","","0","0.00","0.00","JY00000045"
"117745097","48099827","6000","9","1330.00","1330.00","3266.00","2016/1/25 15:04:23","5","沪C44533","02","07600108082016006500","80TPIC01160000000000853608373A","1","0","02TPIC01150000000000725782536B","MZAADD0023","210","2181.42","2159.65","海马","福美来","海马HMC7161B轿车","轿车,手动档 普通型 GX 巴西发动机","沪C44533","前大灯（左）","256.00","02","HMCA-51-040","1","","0","0.00","0.00","JY00000104"
"117745097","48099827","6000","9","1330.00","1330.00","3266.00","2016/1/25 15:04:23","5","沪C44533","02","07600108082016006500","80TPIC01160000000000853608373A","1","0","02TPIC01150000000000725782536B","MZAADD0023","210","2181.42","2159.65","海马","福美来","海马HMC7161B轿车","轿车,手动档 普通型 GX 巴西发动机","沪C44533","前大灯（左）","0.00","","000","0","前大灯（左）","1","0.00","0.00","JY00000104"
"121466550","53451968","6000","9","1950.00","1950.00","3266.00","2016/4/6 9:05:53","5","沪CHU133","02","07601408082016023989","80TPIC01160000000000887159934B","1","0","02TPIC01150000000000720928961A","MZAADD0039","210","2196.21","2239.02","海马","福美来","海马HMC7162A轿车","轿车,手动档 豪华型 GLS","沪CHU133","前大灯（左）","0.00","","000","0","前大灯（左）","1","0.00","0.00","JY00000018"
"116308584","48860292","6000","3","2200.00","2300.00","8394.89","2016/2/1 18:09:26","5","皖HC9139","02","07600108022015094323","80TPIC01150000000000840365280C","1","0","02TPIC01150000000000809302632J","RCAASD0013","210","2737.72","3465.36","东风日产","东风日产阳光","风神EQ7202(SUNNY2.0)轿车","轿车,自动档 E型 标准版","皖HC9139","前大灯（左）","336.00","02","26060PA00A-B019","1","","0","0.00","0.00","JY00000018"
"121908994","55449816","6000","3","18400.00","16200.00","9162.00","2016/4/22 15:10:16","5","浙J6KP62","02","07600108022016025681","80TPIC01160000000000891917251A","1","0","02TPIC01150000000000740625289J","MZAALD0049","210","3268.95","4229.64","一汽马自达","Mazda6","马自达CA7201AT轿车","轿车,手自一体 时尚型 国Ⅲ不带OBD","浙J6KP62","前大灯（左）","1380.00","02","000","1","","0","0.00","0.00","JY00000037"
"125398178","58376079","6000","9","2600.00","2600.00","3266.00","2016/6/7 12:05:22","5","沪C804R0","02","07600108082016039129","80TPIC01160000000000920741465F","1","0","02TPIC01160000000000908842195D","MZAALD0049","210","2329.88","2956.38","一汽马自达","Mazda6","马自达CA7201AT轿车","轿车,手自一体 时尚型 国Ⅲ不带OBD","沪C804R0","前大灯（左）","881.60","02","GRYR-51-0L0B","1","","0","0.00","0.00","JY00000085"
"121002957","54970112","6000","3","18000.00","10900.00","9136.63","2016/4/18 10:17:59","5","沪GD9252","02","07600108012016021070","80TPIC01160000000000881053121G","1","0","02TPIC01150000000000841258296B","MZAALD0049","210","3268.95","3872.91","一汽马自达","Mazda6","马自达CA7201AT轿车","轿车,手自一体 时尚型 国Ⅲ不带OBD","沪GD9252","前大灯（左）","1856.85","01","GRYR-51-0L0B","1","","0","0.00","0.00","JY00012897"
"126617339","62036374","6000","3","6100.00","2900.00","9136.63","2016/7/25 13:04:29","5","沪C88X48","02","07601508022016050218","80TPIC01160000000000946821548E","1","0","02TPIC01150000000000759995212F","RWAAAD0014","210","3593.58","5844.30","荣威","荣威750","荣威CSA7250AA-GD轿车","轿车,手自一体 周年纪念版","沪C88X48","前大灯（左）","2220.15","02","10001921","1","前大灯（左）","1","2220.15","0.00","JY00007132"
"126617339","62036374","6000","3","6100.00","2900.00","9136.63","2016/7/25 13:04:29","5","沪C88X48","02","07601508022016050218","80TPIC01160000000000946821548E","1","0","02TPIC01150000000000759995212F","RWAAAD0014","210","3593.58","5844.30","荣威","荣威750","荣威CSA7250AA-GD轿车","轿车,手自一体 周年纪念版","沪C88X48","前大灯（左）","0.00","02","0000","0","前大灯（左）","1","0.00","20.00","JY00007132"
"123878427","57291074","6000","3","19100.00","10500.00","9136.63","2016/5/30 16:01:15","5","沪FR8877","02","07600108012016031233","80TPIC01160000000000902969100D","1","0","02TPIC01150000000000744201873C","RWAAAD0014","210","2459.19","3650.35","荣威","荣威750","荣威CSA7250AA-GD轿车","轿车,手自一体 周年纪念版","沪FR8877","前大灯（左）","2220.15","02","10001921","1","","0","0.00","0.00","JY00000047"
"117435580","49236873","6000","3","30500.00","20700.00","32734.42","2016/2/4 16:30:05","5","沪GT0986","02","07600108012016005631","80TPIC01160000000000852066029F","1","0","02TPIC01150000000000741716439I","RWAAAD0014","220","3084.54","4113.76","荣威","荣威750","荣威CSA7250AA-GD轿车","轿车,手自一体 周年纪念版","沪GT0986","前大灯（左）","2964.00","01","10001921","1","","0","0.00","0.00","JY00006098"
"118788944","59622733","6000","9","3200.00","3200.00","3266.00","2016/6/29 9:22:05","5","皖HEB888","02","07600108022016012224","80TPIC01160000000000860819470A","1","0","02TPIC01160000000000846968705A","MZAALD0027","210","3283.17","4015.18","一汽马自达","Mazda6","马自达CA7201AT轿车","轿车,手自一体 超豪华型 SDX 国Ⅲ不带OBD","皖HEB888","前大灯（左）","977.00","02","GRYR-51-0L0B","1","","0","0.00","0.00","JY00000018"
